,Name,Freq
0,nene,22
1,zuma,19
2,gupta,19
3,pretorius,14
4,jonas,14
5,the,9
6,minister,9
7,of,9
8,finance,9
9,fuzile,9
10,lungisa,8
11,ms,8
12,ajay,7
13,survé,7
14,joemat-pettersson,7
15,ja,5
16,chair,5
17,mahlobo,5
18,gordhan,4
19,spider,4
20,web,4
21,maria,4
22,ramos,4
23,saxonwold,4
24,iqbal,4
25,myeni,4
26,brown,3
27,duduzane,3
28,putin,3
29,trevor,2
30,manuel,2
31,jacob,2
32,anthony,2
33,julius,2
34,mcebisi,2
35,andrew,2
36,donaldson,2
37,eskom,2
38,siswana,2
39,nedlac,2
40,fana,2
41,hlongwane,2
42,sahara,2
43,computers,2
44,ben,2
45,martins,2
46,procurement,2
47,20,2
48,pardon,2
49,maite,2
50,nkoana-mashabane,2
51,david,2
52,des,2
53,van,2
54,rooyen,2
55,dudu,2
56,type:,1
57,"org,",1
58,value:,1
59,chairpersont,1
60,curriculum,1
61,vitae,1
62,pravin,1
63,kenneth,1
64,avril,1
65,halstead,1
66,ismail,1
67,momoniat,1
68,daniel,1
69,matjila,1
70,document,1
71,barclays,1
72,brian,1
73,molefe,1
74,matshela,1
75,koko,1
76,house,1
77,essop,1
78,pahad,1
79,governing,1
80,edwin,1
81,nathan,1
82,sonnenberg's,1
83,floyd,1
84,shivambu,1
85,shivambo,1
86,kgalema,1
87,motlanthe,1
88,gauteng,1
89,magosha,1
90,mapetla,1
91,malang,1
92,gswente,1
93,siluanov,1
94,sergei,1
95,lekgotla,1
96,medupi,1
97,nkoane-mashabane,1
98,lynn,1
99,tina,1
100,joemat-petterson,1
101,michael,1
102,sacks,1
103,general,1
104,petro,1
105,scyou,1
106,arms,1
107,lynne,1
108,yunus,1
109,carrim,1
110,makhosi,1
111,khoza,1
112,pule,1
113,mabe,1
114,mr,1
115,pinky,1
116,kekana,1
117,liaison,1
118,entebbe,1
119,omar,1
120,al-bashir,1
121,khartoum,1
122,lakela,1
123,kaunda,1
124,trenworth,1
