,Name,Freq
0,maroga,45
1,godsell,33
2,ms,20
3,hogan,20
4,ja,20
5,eskom,14
6,jonas,12
7,chair,11
8,shaik,11
9,mantashe,10
10,motlanthe,8
11,chairperson,5
12,gordon,4
13,bobby,4
14,ghordan,3
15,kathrada,3
16,gigaba,3
17,ngwana,3
18,gama,3
19,yunus,3
20,pravin,2
21,ngwede,2
22,zuma,2
23,shibane,2
24,michael,2
25,katz,2
26,corporate,2
27,governance,2
28,the,2
29,of,2
30,makwana,2
31,norman,2
32,transnet,1
33,ghama,1
34,collen,1
35,cassie,1
36,cathy,1
37,malusi,1
38,feel,1
39,yours,1
40,depour,1
41,peters,1
42,enoch,1
43,limpopo,1
44,mm,1
45,pretorius,1
46,ratings,1
47,agencies,1
48,jessie,1
49,duarte,1
50,mokoena,1
51,sorry,1
52,jimmy,1
53,manyi,1
54,anumsa,1
55,alec,1
56,erwin,1
57,mpho,1
58,slakela,1
59,kaunda,1
60,boards,1
61,gwede,1
62,advocate,1
63,boqwana,1
64,burns,1
65,mabunda,1
66,gordhan,1
67,ministers,1
68,kotzen,1
