,Name,Freq
0,chair,47
1,gupta,28
2,pretorius,15
3,jonas,14
4,adv,12
5,maleka,11
6,chairperson,8
7,hellens,8
8,norman,7
9,van,6
10,zuma,6
11,ms,6
12,mcebisi,5
13,maseko,5
14,rooyen,4
15,des,3
16,advocate,3
17,pieter,3
18,labuschagne,3
19,ajay,3
20,rajesh,3
21,sikakhane,3
22,jacob,3
23,sello,2
24,buthelezi,2
25,attorneys,2
26,rob,2
27,law,2
28,procurement,2
29,gordhan,2
30,hoffmeyer,2
31,joubert,2
32,themba,2
33,duduzane,2
34,hlongwane,2
35,david,2
36,kumar,2
37,singali,2
38,paras,2
39,a4(a,2
40,paul,1
41,case,1
42,deputy,1
43,ministers,1
44,leah,1
45,gcabashe,1
46,thandi,1
47,mabunda,1
48,proceed,1
49,al,1
50,boards,1
51,mokoena,1
52,nene,1
53,muthambi,1
54,geabashe,1
55,bear,1
56,chambers,1
57,mike,1
58,micheal,1
59,vytjie,1
60,mentor,1
61,dawie,1
62,der,1
63,merwe,1
64,attorney,1
65,jaap,1
66,cilliers,1
67,fana,1
68,muzi,1
69,masuku,1
70,gedleyihlekisa,1
71,williams,1
72,welcome,1
73,lusenga,1
74,type:,1
75,"org,",1
76,value:,1
77,chairpersont,1
78,henry,1
79,cowley,1
80,huysteen,1
81,lakhela,1
82,kuanda,1
83,20,1
84,rule,1
85,61,1
86,sedumedi,1
87,eskom,1
88,denel,1
89,laser,1
90,zak,1
91,jaco,1
92,navi,1
93,pillay,1
94,mandisa,1
95,jantjie,1
96,mrs,1
97,allison,1
98,meynard,1
99,gibson,1
100,dingwa,1
101,sekwebu,1
102,esmaybo,1
103,mmusi,1
104,maimane,1
105,davis,1
106,fikile,1
107,mbalula,1
108,pravin,1
109,hogan,1
110,dudu,1
111,myeni,1
112,abraham,1
113,masango,1
114,ben,1
115,martins,1
116,baldwin,1
117,ngubane,1
118,zweli,1
119,mkhize,1
120,lynn,1
121,brown,1
122,anoj,1
123,singh,1
124,brian,1
125,molefe,1
126,koko,1
127,linel,1
128,tsepo,1
129,lucky,1
130,montana,1
131,koma,1
132,erica,1
133,johnson,1
134,vanela,1
135,klein,1
136,robert,1
137,fine,1
138,wentzel,1
139,atul,1
140,jeetali,1
141,srikanth,1
142,singala,1
143,shivani,1
144,suraya,1
145,kant,1
146,estina,1
147,dairy,1
148,geoff,1
149,budlender,1
150,segwale,1
151,acquisitions,1
152,peter,1
