,Name,Freq
0,watson,110
1,gavin,75
2,seopela,69
3,smith,51
4,vincent,24
5,gillingham,24
6,pretorius,22
7,mansell,20
8,chair,17
9,mokonyane,12
10,danny,12
11,ja,10
12,patrick,10
13,ms,9
14,leshabane,9
15,magagula,8
16,gauteng,6
17,nomvula,6
18,moyane,6
19,mamsie,6
20,gumede,6
21,euro,6
22,blitz,6
23,page,5
24,zuma,5
25,winnie,5
26,ngwenya,5
27,paul,4
28,jacob,4
29,jurgen,4
30,brumilda,4
31,taverner,4
32,annexures,3
33,papa,3
34,norman,3
35,nyambuse,3
36,joe,3
37,thubane,3
38,mezzanine,3
39,richard,3
40,le,3
41,roux,3
42,mark,3
43,siyanqoba,2
44,nkabinde,2
45,silvo,2
46,raymond,2
47,moodley,2
48,tom,2
49,alison,2
50,george,2
51,vorster,2
52,viljoen,2
53,richmond,2
54,linda,2
55,mti,2
56,ishmael,2
57,dekhane,2
58,petrus,1
59,venter,1
60,catherine,1
61,café,1
62,mozart,1
63,reggie,1
64,baragwanath,1
65,22.10.4,1
66,mokonyanehim,1
67,vantage,1
68,bryanston,1
69,directors,1
70,mokonyaneyou,1
71,summerfields,1
72,matisda,1
73,mokoyane,1
74,sesiniyi,1
75,agrizzi,1
76,leader,1
77,nelson,1
78,mandela,1
79,fana,1
80,hlongwane,1
81,gaven,1
82,mrs,1
83,masha,1
84,thobane,1
85,de,1
86,wee,1
87,senior,1
88,scheme,1
89,kgwerano,1
90,hm,1
91,tashas,1
92,morningside,1
93,illovo,1
94,purposes,1
95,sesinyi,1
96,chairperson,1
97,mugg,1
98,messrs,1
99,zach,1
100,modise,1
101,groenpunt,1
102,jacques,1
103,van,1
104,zyl,1
105,104,1
106,116,1
107,hennie,1
108,frans,1
109,port,1
110,elizabeth,1
111,johan,1
112,helmut,1
113,kobus,1
114,138,1
115,141,1
116,mncwaba,1
117,mncwabe,1
