,Name,Freq
0,gordhan,33
1,jonas,18
2,fuzile,18
3,zwane,17
4,nene,17
5,godongwana,17
6,mantashe,15
7,maleka,13
8,pretorius,12
9,gupta,12
10,zuma,12
11,chair,11
12,molefe,8
13,maseko,5
14,van,5
15,eskom,4
16,minister,4
17,rooyen,4
18,chairperson,4
19,investments,3
20,ms,3
21,manuel,3
22,lungisa,3
23,the,3
24,of,3
25,finance,3
26,michael,3
27,sacks,3
28,howa,2
29,ja,2
30,rand,2
31,mabuza,2
32,pettersson,2
33,ramaphosa,2
34,sebulela,2
35,mandela,2
36,moyane,2
37,nimola,2
38,williams',2
39,ndondo,2
40,andrew,2
41,mbeki,2
42,tebedi,2
43,ramuntsha,2
44,nazeem,1
45,radebe,1
46,mosebenzi,1
47,bongani,1
48,xhlonga,1
49,forensic,1
50,experts,1
51,boards,1
52,ferraris,1
53,medupi,1
54,ramos,1
55,mr,1
56,153,1
57,jabu,1
58,whatsapp,1
59,brian,1
60,buthelezi,1
61,general,1
62,ahmed,1
63,kathrada,1
64,inspector,1
65,robben,1
66,islanders,1
67,joemat,1
68,standard,1
69,fitch,1
70,christiane,1
71,amanpour,1
72,gigaba,1
73,george,1
74,nasrec,1
75,barbara,1
76,hogan's,1
77,phillip,1
78,mahlatsi,1
79,shaun,1
80,abrahams,1
81,sibisa,1
82,mogale,1
83,tom,1
84,nhlanhla,1
85,pravin,1
86,norman,1
87,bobat,1
88,whitley,1
89,des,1
90,masuku,1
91,phumla,1
92,williams,1
93,mogajane,1
94,feel,1
95,m.com,1
96,lesetja,1
97,kganyago,1
98,magayane,1
99,mgasha,1
100,calibre,1
101,kamaff,1
102,hearsay,1
103,enoch,1
104,type:,1
105,"org,",1
106,value:,1
107,chairpersonntervenes,1
108,duduzani,1
109,hlongwana,1
110,garsfontein,1
111,ishmael,1
112,mamoniat,1
113,brown,1
114,donaldson,1
115,rooyen's,1
116,mahayana,1
