,Name,Freq
0,stan,78
1,currin,26
2,nombembe,21
3,john,21
4,gupta,16
5,brkic,13
6,sahara,10
7,computers,10
8,chair,9
9,pretorius,8
10,carin,8
11,knot,7
12,brian,6
13,ja,5
14,mark,5
15,haywood,5
16,zuma,4
17,dirk,3
18,coetzee,3
19,bronco,3
20,rose,3
21,fullbright,3
22,tambo,3
23,duduzane,2
24,adwil,2
25,maverick,2
26,marverick,2
27,greg,2
28,type:,2
29,value:,2
30,statute,2
31,cleary,2
32,kate,1
33,jaexhibit,1
34,terence,1
35,adv,1
36,hofmeyr,1
37,rule,1
38,6.1,1
39,ashu,1
40,chawla,1
41,cabinet,1
42,ministers,1
43,madonsela,1
44,63.6.4,1
45,chabalala,1
46,msimang,1
47,ms,1
48,hoffmeyer,1
49,mr,1
50,eugene,1
51,de,1
52,kock,1
53,death,1
54,squads,1
55,duduzani,1
56,page,1
57,daley,1
58,do?---,1
59,dally,1
60,kumbugani,1
61,amobongani,1
62,ramaphosa,1
63,zondo,1
64,nc,1
65,"org,",1
66,chairpersoncurrin,1
67,"gpe,",1
68,chairpersonme,1
69,chairpersonschwikkard,1
70,van,1
71,der,1
72,merwe,1
73,ross,1
74,costigan,1
75,ellicot,1
76,ama,1
77,bongani,1
78,daily,1
79,mcebisi,1
80,jonas,1
81,jacob,1
82,mosebenzi,1
83,zwane,1
84,curriculum,1
85,vitae,1
86,faith,1
