,Name,Freq
0,gupta,40
1,maseko,30
2,chabane,26
3,ajay,16
4,maleka,10
5,baloyi,9
6,zuma,7
7,saxonwold,6
8,chair,5
9,atul,5
10,chikane,5
11,ja,5
12,chairperson,4
13,frank,4
14,collins,4
15,motlanthe,4
16,essop,4
17,pahad,4
18,kgalema,3
19,advocate,3
20,ms,3
21,manje,3
22,richard,3
23,zulu,2
24,kanyane,2
25,tony,2
26,mmh,2
27,jimmy,2
28,williams,2
29,mahlamba,1
30,ndlopfu,1
31,mbeki,1
32,zuluthere,1
33,colin,1
34,mentor,1
35,fujimori,1
36,the,1
37,founding,1
38,affidavit,1
39,scwhen,1
40,apologies,1
41,joel,1
42,netshitenzhe,1
43,james,1
44,mt,1
45,pres,1
46,jan,1
47,botes,1
48,news,1
49,channel,1
50,10,1
51,testify,1
52,muzanele,1
53,ye,1
54,manto,1
55,shabalala-msimang,1
56,pretorius,1
57,hofmeyer,1
58,doctors,1
59,hellman,1
