,Name,Freq
0,gupta,47
1,maseko,41
2,jonas,41
3,hellens,37
4,ajay,21
5,maleka,15
6,chair,14
7,zuma,14
8,brown,13
9,mm,12
10,mentor,11
11,ms,10
12,duduzane,9
13,rajesh,8
14,law,6
15,joubert,5
16,williams,4
17,type:,4
18,value:,4
19,lewis,4
20,criminal,3
21,labala,3
22,mtolo,3
23,cockrell,3
24,smith,2
25,"gpe,",2
26,cohunda,2
27,ja,2
28,nicole,2
29,zwanele,1
30,manyi,1
31,pretorius,1
32,siphiwe,1
33,nyanda,1
34,shaik,1
35,malema,1
36,james,1
37,comistaken,1
38,guptabeen,1
39,icommission,1
40,"cardinal,",1
41,chairpersonone,1
42,investments,1
43,resources,1
44,limited,1
45,west,1
46,dawn,1
47,hansman,1
48,chairpersonderstand,1
49,chairpersonyou,1
50,mabunda,1
51,chairpersonsee,1
52,"norp,",1
53,chairpersonrefresh,1
54,hofmeyer,1
55,lynne,1
56,schair,1
57,hlongwane,1
58,cilliers,1
59,exhibit,1
60,the,1
61,minister,1
62,of,1
63,finance,1
64,ogbay,1
65,polanski,1
66,enforcement,1
67,agents,1
68,10,1
69,randell,1
70,mtiyane,1
71,gomrey,1
72,lebane,1
73,saxonwold,1
74,lebelo,1
75,hellen,1
76,lynn,1
77,bhar,1
78,masego,1
79,helens,1
80,cockerell,1
81,ma,1
82,masekorefuse,1
83,manthashe,1
84,bham,1
85,copy,1
86,pretorious,1
